Headline,Article Link,Excerpt,Author,Date,Address,Restaurant Names and Links,Google Maps Address,Restaurant Name,Latitude,Longitude,Link,Unnamed: 10,Unnamed: 11,Unnamed: 12,Article Body
Falu House Serves a Delightful Scandinavian Summer Supper in Greenpoint,https://hellgatenyc.com/falu-house-scandinavian-deli-greenpoint-review/,,Scott Lynch,"August 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Mole and Mutual Aid at the South Bronx's La Morada,https://hellgatenyc.com/mole-and-mutual-aid-at-the-south-bronx-la-morada/,,Scott Lynch,"August 01, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"Bless the Vegan Gods, for Chloe Coscarelli Is Back in the West Village",https://hellgatenyc.com/chloe-coscarelli-vegan-west-village-review/,,Scott Lynch,"July 25, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Upstate Cult Favorite Moonburger Lands in Williamsburg,https://hellgatenyc.com/moonburger-lands-in-williamsburg/,,Scott Lynch,"July 18, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Roberta's New Rooftop Slice Joint Near Penn Station Is a Delight,https://hellgatenyc.com/robertas-slice-joint-rooftop-near-penn-station-2/,,Scott Lynch,"July 10, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Fuel Up With Glorious Halal Comfort Food at a Myrtle Avenue Gas Station,https://hellgatenyc.com/blue-hour-halal-gas-station-review-bushwick/,"Blue Hour serves a full menu of hefty, gloppy delights inside the BP at a busy Bushwick intersection.",Scott Lynch,"July 02, 2024",,,,,,,,,,,"I've eaten at more gas station restaurants so far this year (two) than I have in my entire life. It's an unexpected New York City micro-trend that I fully support—in fact, I'd go so far as to say that gas stations in general should ditch their whole ""fossil fuels"" thing entirely and focus solely on feeding first-rate munchies to afternoon stoners and late-night fiends. The city would be a happier place. The latest entrant into our Great Gas Station Restaurant Summer is a terrific new halal joint called Blue Hour, located inside the BP station at one of those chaotic three-way intersections along Myrtle Avenue in Bushwick. Drivers, cyclists, and pedestrians are all welcome; the actual entrance sits just off Grove Street and is readily accessible via the sidewalk. Blue Hour's four owners—Ali Zaman, Mohamed Ghiasi, Devlin Claro, and Yusuf Zaman—are seasoned industry pros (Little Flower Cafe in Astoria and Dunya Kabab House in Kensington are among their various other establishments), and you get a level of hospitality here not usually seen in a space otherwise dominated by a lottery vending machine. Become a paid subscriber to Hell Gate to access all of our posts."
NYC’s Best Taqueria Ups Their Taco Game With the New Carnitas Ramirez,https://hellgatenyc.com/carnitas-ramirez-nyc-alphabet-city-review/,"Learn why Carnitas Ramirez, located in Alphabet City, is our $20 Dinner columnist's favorite new restaurant of 2024.",Scott Lynch,"June 27, 2024",,,,,,,,,,,"Tania Apolinar and Giovanni Cervantes didn't plan on becoming New York City taco heroes. But when the photography studio where they worked got shut down during the pandemic, they knew they had to shift gears, and fast. Cervantes grew up in Mexico City, and Apolinar is from Torreón, in northern Mexico, and so they thought, why not open a taqueria ? Taqueria Ramirez, their tiny shop on residential Oak Street in Greenpoint, opened in September of 2021—and it's a career move for which the rest of us are forever grateful. Now, Cervantes told Hell Gate, their taqueria serves more than 2,000 unapologetically CDMX-style tacos a day—think cuts of cow like tripa and suadero burbling away in lard for hours before getting plopped onto your tortillas. Add an al pastor beauty and a funky little chorizo number to the mix, and you've got the best taco spot in town . A couple of years ago, though, Apolinar and Cervantes began itching to expand into Manhattan, preferably downtown. While their first thought was simply to open a sort of cut-and-paste version of their taqueria, they also weren't interested in creating some sort of scalable chain. ""Me and Tania were like, how are we going to do this without abandoning our original project?"" said Cervantes. ""And how can we make this possible in the most humane, realistic, and fun way for us and our team?"" Their solution was two-fold. First, they partnered with another couple, Kari Boden and Yvon de Tassigny, the latter a long-time chef at Fette Sau and St. Anselm (""Meat has been my thing for some time,"" said de Tassigny), and the former a seasoned front-of-house pro. Second, just to keep things interesting, they decided to ditch their taqueria menu and go all in on pig: ears, snout, tongue, cheek, butt, stomach, brains, and tail. The whole hog, so to speak. Thus was born Carnitas Ramirez, my favorite new restaurant of the year. Located right off Avenue B on East Third Street, Carnitas Ramirez only serves, you guessed it, carnitas tacos, which here means cooking all of those pig parts together in a big vat of lard. The only seasonings are salt and a bit of garlic. You choose your cut (just look at the steam table or check out the pig anatomy sketch that someone drew onto a mirror), and Cervantes and de Tassigny hack it into pieces and plop it onto a corn tortilla. Further toppings are up to you: There are two kinds of salsas (red and green, both lively and delicious), pickled onions, and a chunky jalapeño mix in big bowls near the register as well as in cute little containers on the tables in the back room. ""One of my best friends is from Michoacán, which is known for its carnitas,"" said Cervantes. ""When we were deciding to do this, I had a chance to go and he showed me, this is the way we do it here . It's very minimal. The tricky part is getting to know the meats, in terms of the times and temperature they need to be inside the pot."" Well, they nailed it. I've eaten at least six or seven different tacos so far at Carnitas Ramirez and loved every one. It's impossible to choose favorites. The offal is all terrific, especially the oreja (ears), lengua (tongue), and trompa (snout). Right now, the sesos (brains) is only available as a special and inside a mini empanada of sorts called a sesadilla, but it too is delicious. Cervantes said they're still working on a source for matriz (uterus), which real carnitas devotees say is the best one. ""We want to make this a proper Mexican experience,"" said de Tassigny, ""and not just serve what you usually get in New York as burrito or taco meat."" What I call the ""gringo cuts""—maciza (a mix of loin, leg, and shoulder), costilla (ribs), and buche (stomach)—are equally excellent. If you're uncertain how to round out your order (three or four tacos here make for a satisfying meal), just order a surtida, a sort of ""chef's choice"" assortment, and Cervantes and de Tassigny will pile on a combo of items for you. No matter what, I recommend getting a side of their chicharrón, or fried skin, which gets strewn on top. There is one vegan option, a taco with rajas con papa (chilis and potatoes), that I hear is good. As at Taqueria, there's no takeout available unless you bring your own container. But you can buy a pound of whatever meats you want for $60, an order that also comes with enough tortillas to make your own tacos (help yourself to the toppings bar, too). Unlike at Taqueria, you can get beer ($7) and wine ($10) at Carnitas. Mexican Coke, Topo Chico, and pour-your-own cups of water are also available. Either way, though, don't linger. Even though there are about 20 seats in the back room (where telenovelas play on a janky old TV), and space for another 10 guests at stools on either side of the big front window, you should still be considerate. Eat and leave to give other people a chance to gorge on all that carnitas. ""It's been a life-changing thing, these restaurants,"" said Cervantes. ""It's hard to remember our lives before the taqueria. We've been so deep into this, and you end up understanding that it's not just a job, it really becomes your life. I'm happy with that, happy that we built a really good team. It feels strong. We like each other. I feel really good about that, to walk into Taqueria and now Carnitas and feel the energy of the people."" Carnitas Ramirez is located at 210 East Third Street, just east of Avenue B, and is currently open from noon to 10 p.m. on Friday, from 11 a.m. to 10 p.m. on Saturday, and from noon to 9 p.m. on Sunday, with more days to come."
Son Del North Brings World-Class Baja Burritos to the LES,https://hellgatenyc.com/son-del-north-burritos-les-nyc-review/,,Scott Lynch,"June 20, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Curry Mee Is Your New Go-To For Malaysian Food in Park Slope,https://hellgatenyc.com/curry-mee-park-slope/,,Scott Lynch,"June 13, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Emeye Ethiopian Cuisine’s Exceptional Food Is Your Perfect Park Meal This Summer,https://hellgatenyc.com/emeye-ethiopian-cuisine-injera-yum-nyc/,,Scott Lynch,"June 06, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
ThisBowl Conquers Noho With the Antithesis of the Sad Desk Salad,https://hellgatenyc.com/thisbowl-noho-bondi-lunch-review/,,Scott Lynch,"May 30, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Where to Find the Best Beach Food at Rockaway This Endless Summer,https://hellgatenyc.com/rockaway-beach-food-guide-2024/,,Scott Lynch,"May 22, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Falu House Serves a Delightful Scandinavian Summer Supper in Greenpoint,https://hellgatenyc.com/falu-house-scandinavian-deli-greenpoint-review/,,Scott Lynch,"August 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Esse Throws a Fun Party—But Its Tacos Fall Flat,https://hellgatenyc.com/esse-tacos-williamsburg/,,Scott Lynch,"May 09, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"Burmese Bites Brings Their Big, Funky Flavors to Midtown",https://hellgatenyc.com/burmese-bites-midtown-nyc-review/,,Scott Lynch,"May 02, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"Two West Village Newcomers Bring Fresh, Delicious Energy to the City’s Increasingly Predictable Burger Game",https://hellgatenyc.com/burgerhead-smacking-burger-west-village-nyc-review/,,Scott Lynch,"April 25, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
There’s No Palestinian Food at This Year’s Queens Night Market. Here’s Where You Should Go Instead,https://hellgatenyc.com/queens-night-market-palestinian-food-astoria/,,Scott Lynch,"April 17, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
El Sazon Brings Superb Dominican Smashburgers and Perfect Pernil to Chinatown,https://hellgatenyc.com/el-sazon-superb-dominican-smashburgers-perfect-pernil-chinatown-nyc-review/,,Scott Lynch,"April 11, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Nothing More Punk Than Slinging Delicious Vegan Southern Food at a Greenpoint Dive Bar,https://hellgatenyc.com/jjs-southern-vegan-the-drift-greenpoint-nyc-review/,,Scott Lynch,"April 03, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Make Your Way to Sunnyside’s Newa Chhe For Fantastic Nepali Delights,https://hellgatenyc.com/newa-chhe-kathmandu-valley-nepali-sunnyside-queens-review/,,Scott Lynch,"March 20, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Pizzalujah: Frank Tuttolomondo Brings His Awe-Inspiring Slices to the West Village,https://hellgatenyc.com/mamas-too-frank-tuttolomondo-west-village-pizza-nyc-review/,,Scott Lynch,"March 13, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
NYC’s Wonton Queen Maxi Lau Blesses Flushing (Again) With Her Second Noodle Shop,https://hellgatenyc.com/best-wontons-nyc-maxis-noodle-2-flushing-review/,,Scott Lynch,"March 06, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Sen Saigon Is Throwing a Vegan Vietnamese Party on East Broadway,https://hellgatenyc.com/sen-saigon-vegan-vietnamese-east-broadway-chinatown-nyc/,,Scott Lynch,"February 28, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Make Your Way to Flatbush’s Yaadman Thing for NYC’s Best Curry Goat,https://hellgatenyc.com/incredible-homestyle-jamaican-food-yaadman-thing-flatbush-review/,,Scott Lynch,"February 22, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Falu House Serves a Delightful Scandinavian Summer Supper in Greenpoint,https://hellgatenyc.com/falu-house-scandinavian-deli-greenpoint-review/,,Scott Lynch,"August 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
This East Village Block Now Stars Both Lebanese Fried Chicken And Pakistani Paratha Rolls,https://hellgatenyc.com/hen-house-and-kolachi-on-one-east-village-block/,,Scott Lynch,"February 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"The Best Bar Food in NYC Is at Lori Jayne, Deep in the Heart of a Bushwick Music Venue",https://hellgatenyc.com/bushwick-nyc-lori-jayne-alphaville-comfort-food/,,Scott Lynch,"January 31, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Delight in the DIY Charm of Greenpoint’s Little Armenia Cafe,https://hellgatenyc.com/greenpoint-new-little-armenia-cafe/,,Scott Lynch,"January 24, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
It’s a Pizza Party on Canal Street With Lucia and LTD,https://hellgatenyc.com/pizza-party-on-canal-street-with-lucia-and-ltd/,,Scott Lynch,"January 17, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Excellent Malaysian Fare on Historic Doyers Street,https://hellgatenyc.com/doyers-street-malaysian-doyers-old-town-review/,,Scott Lynch,"January 11, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Abracadabra Magic Diner Brings Hippie Vibes and an Expansive Menu to Ridgewood,https://hellgatenyc.com/abracadabra-magic-diner-ridgewood-review/,,Scott Lynch,"January 03, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
The Top $20 Dinners of 2023,https://hellgatenyc.com/the-top-20-dinners-of-2023/,,Scott Lynch,"December 27, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
