Headline,Article Link,Excerpt,Author,Date,Address,Restaurant Names and Links,Google Maps Address,Restaurant Name,Latitude,Longitude,Link,Unnamed: 10,Unnamed: 11,Unnamed: 12,Article Body
Prepare to Get Greasy With This Delicious Chicken on Bleecker Street,https://hellgatenyc.com/cauldron-chicken-dao-kou-shou-ji-bleecker-street-nyc/,,Scott Lynch,"December 21, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"Superb Sichuan Noodles, Served on an Industrial Corner in Queens",https://hellgatenyc.com/dutch-kills-fer-sichuan-restaurant-review/,,Scott Lynch,"December 13, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
El Rinconcito Is Back in Action with Delicious Dominican Fare,https://hellgatenyc.com/el-rinconcito-alphabet-city-review/,,Scott Lynch,"December 06, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Greenpoint’s Restaurant Row Gets a Nifty New Japanese Sando Shop,https://hellgatenyc.com/taku-sando-japanese-greenpoint-nyc/,,Scott Lynch,"November 29, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Falu House Serves a Delightful Scandinavian Summer Supper in Greenpoint,https://hellgatenyc.com/falu-house-scandinavian-deli-greenpoint-review/,,Scott Lynch,"August 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Hyderabadi Zaiqa in Hell’s Kitchen Serves Some of the Best Biryani You’ll Ever Eat,https://hellgatenyc.com/hyderabadi-zaiqa-hells-kitchen-best-biryani/,,Scott Lynch,"November 15, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Get Excellent Homestyle Korean Food At This Bed-Stuy Coffee Shop,https://hellgatenyc.com/sonbul-korean-food-burly-bed-stuy/,,Scott Lynch,"November 07, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
World-Class Pizza and Australian Sushi Rolls Make for a Killer Christopher Street Combo,https://hellgatenyc.com/lindustrie-sushi-counter-christopher-street-review/,,Scott Lynch,"November 01, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"Tuck Into a Fiery Feast at Sunnyside’s New Hotspot, Spicy Nepal",https://hellgatenyc.com/spicy-nepal-sunnyside-review/,,Scott Lynch,"October 25, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Wegmaniacs Beware: The Prepared Food at the New Astor Place Wegmans Is Awful,https://hellgatenyc.com/wegmans-astor-place-prepared-food-awful/,,Scott Lynch,"October 19, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Feast on Phenomenal Filipino Food at Patok by Rach in Inwood,https://hellgatenyc.com/patok-by-rach-in-inwood-review/,,Scott Lynch,"October 11, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Bed-Stuy’s Stellar New Bakery Bread and Butter Is Stuffed With Savory and Sweet Delights,https://hellgatenyc.com/bakery-bread-and-butter-bed-stuy-review/,,Scott Lynch,"October 04, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Cloud Offers Up Reliable Vietnamese Comfort Food in the LES,https://hellgatenyc.com/cloud-vietnamese-lower-east-side-clinton-street/,,Scott Lynch,"September 27, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Miami’s El Primo Brings Top-Notch Birria Delights to Avenue A,https://hellgatenyc.com/el-primo-brings-top-notch-birria-delights-tacos-nyc/,,Scott Lynch,"September 20, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Elmhurst’s Taste of Himalaya Is Absolutely Delicious,https://hellgatenyc.com/taste-of-himalaya-elmhurst-queens-so-good/,,Scott Lynch,"September 14, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Decadent Smorgasburg Favorite Duck Season Opens in NYU Territory,https://hellgatenyc.com/smorgasburg-favorite-duck-season-review/,,Scott Lynch,"September 06, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Falu House Serves a Delightful Scandinavian Summer Supper in Greenpoint,https://hellgatenyc.com/falu-house-scandinavian-deli-greenpoint-review/,,Scott Lynch,"August 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Tacombi CDMX Vs. Yellow Rose: A Taco Showdown in the East Village,https://hellgatenyc.com/tacombi-yellow-rose-taco-showdown-east-village-nyc/,,Scott Lynch,"August 24, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Lovely’s Old Fashioned Is Slinging Old-School Comfort Food Into the Night in Hell’s Kitchen,https://hellgatenyc.com/lovelys-old-fashioned-burger-fries-hells-kitchen/,,Scott Lynch,"August 17, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Mad Ramen Scientists Reign at Long Island City’s Instant Noodle Factory,https://hellgatenyc.com/long-island-city-instant-noodle-factory/,,Scott Lynch,"August 10, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Astoria’s Popular Takeout Spot FoodStruck Finally Reopens as a Sit-Down Restaurant,https://hellgatenyc.com/astorias-popular-takeout-spot-foodstruck-finally-reopens-as-a-sit-down-restaurant/,,Scott Lynch,"August 03, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Feast on Killer Puerto Rican Specialties by the Banks of the Gowanus Canal,https://hellgatenyc.com/killer-puerto-rican-food-at-kiosko-787-gowanus/,,Scott Lynch,"July 26, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Funzi’s Pizzeria Brings Top-Tier Slices to St. Marks Place,https://hellgatenyc.com/funzis-pizzeria-brings-excellent-slices-to-st-marks-place/,,Scott Lynch,"July 19, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
The Hunan Slurp Team Brings Stellar Rice Noodles to Long Island City,https://hellgatenyc.com/hunan-slurp-sofun-long-island-city/,,Scott Lynch,"July 13, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"‘Salty Lunch Lady’ Dria Atencio Now Serving Killer Sandwiches, Cakes in Ridgewood",https://hellgatenyc.com/salty-lunch-lady-dria-atencio-killer-sandwiches-cakes-ridgewood/,,Scott Lynch,"July 07, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Beloved Bayside Chef Mama Lee Brings Her Taiwanese Classics To Williamsburg,https://hellgatenyc.com/mama-lee-taiwanese-williamsburg/,,Scott Lynch,"June 29, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"Your Big, Fantastic Northern Thai Spot in Bushwick Has Arrived",https://hellgatenyc.com/chiang-mai-fantastic-thai-bushwick/,,Scott Lynch,"June 21, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"Wildly Delicious, Worker-Owned: Brooklyn’s New Sandwich Shop, Sea & Soil",https://hellgatenyc.com/wildly-delicious-worker-owned-brooklyns-new-sandwich-shop-sea-and-soil/,,Scott Lynch,"June 12, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Falu House Serves a Delightful Scandinavian Summer Supper in Greenpoint,https://hellgatenyc.com/falu-house-scandinavian-deli-greenpoint-review/,,Scott Lynch,"August 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
NYC’s Hottest Club Is This Bonkers Hong Kong-Style Diner on Doyers Street,https://hellgatenyc.com/nycs-hottest-club-mabu-cafe-doyers/,,Scott Lynch,"May 18, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Taqueria Ramírez Serves Up Burger Brilliance in a Greenpoint Bar Basement,https://hellgatenyc.com/taqueria-ramirez-al-pastor-burger/,,Scott Lynch,"May 10, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Chelsea’s Pier 57 Is a Shockingly Good Place to Eat Food and Hang Out,https://hellgatenyc.com/pier-57-food-hall-review/,,Scott Lynch,"May 04, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"For NYC’s Best Cemitas, Head to Coney Island",https://hellgatenyc.com/nycs-best-cemitas-coney-island/,,Scott Lynch,"April 27, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Flushing Cold Noodle Mall-Stall Favorite Old Luo Yang Gets Its Own Storefront,https://hellgatenyc.com/flushing-cold-noodle-mall-stall-favorite-old-luo-yang-gets-its-own-storefront/,,Scott Lynch,"April 18, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
If You Want a Taste of Heaven You Must Go to East Williamsburg,https://hellgatenyc.com/if-you-want-a-taste-of-heaven-you-must-go-to-east-williamsburg/,,Scott Lynch,"March 30, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Nigerian Street Food Meets Fast Food on Nostrand Avenue,https://hellgatenyc.com/nigerian-street-food-akara-house/,,Scott Lynch,"March 23, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Hell Yeah: Chinatown Mainstay Big Wong Expands to Williamsburg,https://hellgatenyc.com/big-wong-hits-williamsburg/,,Scott Lynch,"March 17, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"Feel Right at Home at The York, a New East Village Bar Slinging Some Stellar Smashburgers",https://hellgatenyc.com/the-york-burgers/,,Scott Lynch,"March 09, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Crave-worthy Katsu at Mama Yoshi Mini Mart in Ridgewood,https://hellgatenyc.com/chicken-katsu-at-yoshi-mini-mart-ridgewood/,,Scott Lynch,"March 02, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Zhego Serves a Fantastic Bhutanese Feast in Woodside,https://hellgatenyc.com/zhego-fantastic-bhutanese-feast-woodside-queens/,,Scott Lynch,"February 24, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Falu House Serves a Delightful Scandinavian Summer Supper in Greenpoint,https://hellgatenyc.com/falu-house-scandinavian-deli-greenpoint-review/,,Scott Lynch,"August 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Gloriously Gooey Slices and Great Vibes at Velma in Ridgewood,https://hellgatenyc.com/gloriously-gooey-slices-and-great-vibes-at-velma-in-ridgewood/,,Scott Lynch,"February 08, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
It’s a Family Affair at Lin & Daughters in the West Village,https://hellgatenyc.com/lin-and-daughters-west-village/,,Scott Lynch,"February 02, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
This Is a Good Time: Hainan Chicken House in Sunset Park,https://hellgatenyc.com/hainan-chicken-house-in-sunset-park/,,Scott Lynch,"January 25, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
New Bed-Stuy Bar Boasts Beautiful Burger,https://hellgatenyc.com/new-bed-stuy-bar-boasts-beautiful-burger/,,Scott Lynch,"January 19, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Next Stop Vegan Brings Next-Level Plant-Based Dominican Food To Downtown Brooklyn,https://hellgatenyc.com/next-stop-vegan-brings-next-level-plant-based-dominican-food-to-downtown-brooklyn/,,Scott Lynch,"January 11, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Start 2023 Right With Mucho Sarap’s Filipino Tacos on Canal Street,https://hellgatenyc.com/20-dinner-mucho-sarap-canal-street/,,Scott Lynch,"January 05, 2023",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: The Superlative Rokstar Chicken Now Kickin’ at a Supermarket in Long Island City,https://hellgatenyc.com/20-dinner-rokstar-chicken/,,Scott Lynch,"December 22, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"$20 Dinner: Feasting At Papaye, the Bronx’s Ghanaian Classic",https://hellgatenyc.com/20-dinner-papaye-the-bronx/,,Scott Lynch,"December 15, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Soup Queen Inception in Bushwick,https://hellgatenyc.com/20-dinner-gunthers-soup-queen-farewell-bushwick/,,Scott Lynch,"December 09, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Bobbi’s Italian Beef Brings Chicago’s Famous Messy Monsters to Smith Street,https://hellgatenyc.com/20-dinner-bobbis-italian-beef/,,Scott Lynch,"December 02, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Olly Olly Brings Some Nice Oddball Vibes To NYC’s Resurgent Food Hall Scene,https://hellgatenyc.com/20-dollar-dinner-olly-olly/,,Scott Lynch,"November 17, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
Falu House Serves a Delightful Scandinavian Summer Supper in Greenpoint,https://hellgatenyc.com/falu-house-scandinavian-deli-greenpoint-review/,,Scott Lynch,"August 07, 2024",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Sky-High Thai Sliders and Buckets of Joy at Baby’s Buns and Buckets,https://hellgatenyc.com/20-dinner-babys-buns-buckets/,,Scott Lynch,"November 03, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Everytable Seeks to ‘Transform the Food System’ With Microwaves and Sliding-Scale Prices,https://hellgatenyc.com/20-dinner-everytable/,,Scott Lynch,"October 26, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Gorgeous Fiery Stews at Flushing’s Fish With You,https://hellgatenyc.com/20-dinner-gorgeous-fiery-stews-at-flushings-fish-with-you/,,Scott Lynch,"October 19, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Sacred Sandwich Space Eisenberg’s Reborn as S&P,https://hellgatenyc.com/20-dinner-court-street-grocers-guys-save-sacred-sandwich-space-eisenbergs/,,Scott Lynch,"October 11, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: New “Urban Hawker” Market Brings The Flavors Of Singapore To Midtown,https://hellgatenyc.com/20-dollar-dinner-urban-hawker-market/,,Scott Lynch,"October 06, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Filipino Favorite Dollar Hits Brings the Skewer Party to Woodside,https://hellgatenyc.com/20-dinner-filipino-favorite-dollar-hits-brings-the-skewer-party-to-woodside/,,Scott Lynch,"September 28, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Dave’s Hot Chicken Hits Midtown With Some Seriously Good Bird,https://hellgatenyc.com/20-dinner-daves-hot-chicken-seriously-good-bird/,,Scott Lynch,"September 21, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
"$20 Dinner: Terrific Tacos, Tortas, and Gringas at Bushwick’s Plaza Ortega",https://hellgatenyc.com/20-dinner-terrific-tacos-tortas-and-gringas-at-bushwicks-plaza-ortega/,,Scott Lynch,"September 13, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
$20 Dinner: Unforgettable Fuchka at Tong Bangladeshi Street Food in Jamaica,https://hellgatenyc.com/unforgettable-bangladeshi-fuchka-at-tong/,,Scott Lynch,"September 06, 2022",,,,,,,,,,,Become a paid subscriber to Hell Gate to access all of our posts.
